date,tsf,target,tsf_lead,tsf_lead_z,target_z
2015-02-01,34125.0,,,,
2015-03-01,12433.0,,,,
2015-04-01,10582.0,,,,
2015-05-01,12397.0,,,,
2015-06-01,18384.0,,,,
2015-07-01,7511.0,,,,
2015-08-01,11097.0,,,,
2015-09-01,13571.0,,,,
2015-10-01,5593.0,,,,
2015-11-01,10255.0,,,,
2015-12-01,18114.0,,,,
2016-02-01,43070.0,,,,
2016-03-01,23931.0,,34125.0,0.6164720122208198,
2016-04-01,7809.0,,12433.0,-0.6949465375310392,
2016-05-01,6770.0,,10582.0,-0.8068511906561864,
2016-06-01,16479.0,,12397.0,-0.6971229651444942,
2016-07-01,4791.0,,18384.0,-0.3351709617624004,
2016-08-01,14605.0,,7511.0,-0.9925125573484213,
2016-09-01,17115.0,,11097.0,-0.7757161845192599,
2016-10-01,8865.0,,13571.0,-0.6261472424168213,
2016-11-01,18328.0,0.062,5593.0,-1.1084677840874986,0.347647921434407
2016-12-01,16397.0,0.06,10255.0,-0.8266204081450697,0.24970377019437273
2017-02-01,47878.0,,18114.0,-0.35149416886331325,
2017-03-01,21186.0,0.076,43070.0,1.1572538178418035,1.0332569801146458
2017-04-01,13880.0,0.065,23931.0,0.000180259677465075,0.49456414829445833
2017-05-01,10631.0,0.065,7809.0,-0.9744965732148211,0.49456414829445833
2017-06-01,17718.0,0.076,6770.0,-1.0373106923920377,1.0332569801146458
2017-07-01,11956.0,0.064,16479.0,-0.4503402563077301,0.4455920726744412
2017-08-01,14895.0,0.06,4791.0,-1.1569537548094693,0.24970377019437273
2017-09-01,18335.0,0.066,14605.0,-0.5636354048525846,0.5435362239144754
2017-10-01,10357.0,0.062,17115.0,-0.41189003513669087,0.347647921434407
2017-11-01,16128.0,0.061,8865.0,-0.910654696553473,0.2986758458143899
2017-12-01,11481.0,0.062,18328.0,-0.3385565158277749,0.347647921434407
2018-02-01,42687.0,,16397.0,-0.4552976747605999,
2018-03-01,15848.0,0.06,47878.0,1.4479278168832446,0.24970377019437273
2018-04-01,17761.0,0.07,21186.0,-0.1657723458484824,0.7394245263945439
2018-05-01,9518.0,0.068,13880.0,-0.6074662387346654,0.6414803751545096
2018-06-01,14877.0,0.06,10631.0,-0.8038888308489837,0.24970377019437273
2018-07-01,12254.0,0.06,17718.0,-0.3754348726113188,0.24970377019437273
2018-08-01,19391.0,0.061,11956.0,-0.7237842034093186,0.2986758458143899
2018-09-01,21691.0,0.058,14895.0,-0.5461030712997522,0.15175961895433884
2018-10-01,7420.0,0.059,18335.0,-0.33813332156960313,0.20073169457435563
2018-11-01,15239.0,0.054,10357.0,-0.8204538632402804,-0.04412868352572961
2018-12-01,15898.0,0.057,16128.0,-0.4715604255389168,0.10278754333432173
2019-02-01,56456.0,,11481.0,-0.7525009566424061,
2019-03-01,29602.0,0.085,42687.0,1.1340990462875458,1.4740056606948
2019-04-01,16710.0,0.054,15848.0,-0.4884881958657894,-0.04412868352572961
2019-05-01,17124.0,0.05,17761.0,-0.3728352507396919,-0.24001698600579774
2019-06-01,26243.0,0.063,9518.0,-0.8711767178983022,0.3966199970544241
2019-07-01,12872.0,0.048,14877.0,-0.5471912851064797,-0.33796113724583193
2019-08-01,21956.0,0.044,12254.0,-0.7057682192757185,-0.5338494397259004
2019-09-01,25142.0,0.058,19391.0,-0.274291444908255,0.15175961895433884
2019-10-01,8680.0,0.047,21691.0,-0.13524190293751576,-0.3869332128658491
2019-11-01,19937.0,0.062,7420.0,-0.9980140827046549,0.347647921434407
2019-12-01,22013.0,0.069,15239.0,-0.5253060963267373,0.6904524507745268
2020-02-01,59272.0,,15898.0,-0.48546537973599074,
2020-03-01,51838.0,-0.011,56456.0,1.966522152111506,-3.227313598826839
