dataset,series,date,value
consumption,乡村社会消费品零售总额（亿元）,2018-11-01,5269.7
consumption,乡村社会消费品零售总额（亿元）,2018-12-01,5564.6
consumption,乡村社会消费品零售总额（亿元）,2019-03-01,4533.9
consumption,乡村社会消费品零售总额（亿元）,2019-04-01,4327.1
consumption,乡村社会消费品零售总额（亿元）,2019-05-01,4651.8
consumption,乡村社会消费品零售总额（亿元）,2019-06-01,4919.2
consumption,乡村社会消费品零售总额（亿元）,2019-07-01,4719.5
consumption,乡村社会消费品零售总额（亿元）,2019-08-01,4762.1
consumption,乡村社会消费品零售总额（亿元）,2019-09-01,5382.5
consumption,乡村社会消费品零售总额（亿元）,2019-10-01,5360.2
consumption,乡村社会消费品零售总额（亿元）,2019-11-01,5748.4
consumption,乡村社会消费品零售总额（亿元）,2019-12-01,6072.9
consumption,乡村社会消费品零售总额（亿元）,2020-03-01,3475.9
consumption,乡村社会消费品零售总额（亿元）,2020-04-01,3620.1
consumption,乡村社会消费品零售总额（亿元）,2020-05-01,4091.8
consumption,乡村社会消费品零售总额（亿元）,2020-06-01,4474.3
consumption,乡村社会消费品零售总额（亿元）,2020-07-01,4177.5
consumption,乡村社会消费品零售总额（亿元）,2020-08-01,4297.9
consumption,乡村社会消费品零售总额（亿元）,2020-09-01,5094.6
consumption,乡村社会消费品零售总额（亿元）,2020-10-01,5078.5
consumption,乡村社会消费品零售总额（亿元）,2020-11-01,5442.3
consumption,乡村社会消费品零售总额（亿元）,2020-12-01,5860.0
consumption,乡村社会消费品零售总额（亿元）,2021-03-01,4690.2
consumption,乡村社会消费品零售总额（亿元）,2021-04-01,4264.6
consumption,乡村社会消费品零售总额（亿元）,2021-05-01,4632.4
consumption,乡村社会消费品零售总额（亿元）,2021-06-01,5034.3
consumption,乡村社会消费品零售总额（亿元）,2021-07-01,4546.5
consumption,乡村社会消费品零售总额（亿元）,2021-08-01,4444.5
consumption,乡村社会消费品零售总额（亿元）,2021-09-01,5371.2
consumption,乡村社会消费品零售总额（亿元）,2021-10-01,5364.0
consumption,乡村社会消费品零售总额（亿元）,2021-11-01,5705.7
consumption,乡村社会消费品零售总额（亿元）,2021-12-01,6026.1
consumption,乡村社会消费品零售总额（亿元）,2022-03-01,4533.7
consumption,乡村社会消费品零售总额（亿元）,2022-04-01,3846.1
consumption,乡村社会消费品零售总额（亿元）,2022-05-01,4342.2
consumption,乡村社会消费品零售总额（亿元）,2022-06-01,5171.2
consumption,乡村社会消费品零售总额（亿元）,2022-07-01,4665.3
consumption,乡村社会消费品零售总额（亿元）,2022-08-01,4664.7
consumption,乡村社会消费品零售总额（亿元）,2022-09-01,5495.3
consumption,乡村社会消费品零售总额（亿元）,2022-10-01,5374.5
consumption,乡村社会消费品零售总额（亿元）,2022-11-01,5410.9
consumption,乡村社会消费品零售总额（亿元）,2022-12-01,5947.9
consumption,乡村社会消费品零售总额（亿元）,2023-03-01,4987.4
consumption,乡村社会消费品零售总额（亿元）,2023-04-01,4512.6
consumption,乡村社会消费品零售总额（亿元）,2023-05-01,4897.2
consumption,乡村社会消费品零售总额（亿元）,2023-06-01,4987.4
consumption,乡村社会消费品零售总额（亿元）,2023-07-01,5387.9
consumption,乡村社会消费品零售总额（亿元）,2023-08-01,4958.9
consumption,乡村社会消费品零售总额（亿元）,2023-09-01,5841.3
consumption,乡村社会消费品零售总额（亿元）,2023-10-01,5854.2
consumption,乡村社会消费品零售总额（亿元）,2023-11-01,5974.8
consumption,乡村社会消费品零售总额（亿元）,2023-12-01,6479.2
consumption,乡村社会消费品零售总额（亿元）,2024-03-01,5176.5
consumption,乡村社会消费品零售总额（亿元）,2024-04-01,4672.7
consumption,乡村社会消费品零售总额（亿元）,2024-05-01,5099.8
consumption,乡村社会消费品零售总额（亿元）,2024-06-01,5590.8
consumption,乡村社会消费品零售总额（亿元）,2024-07-01,5066.0
consumption,乡村社会消费品零售总额（亿元）,2024-08-01,5151.2
consumption,乡村社会消费品零售总额（亿元）,2024-09-01,6067.9
consumption,乡村社会消费品零售总额（亿元）,2024-10-01,6141.4
consumption,乡村社会消费品零售总额（亿元）,2024-11-01,6167.1
consumption,乡村社会消费品零售总额（亿元）,2024-12-01,6726.5
consumption,乡村社会消费品零售总额（亿元）,2025-03-01,5345.1
consumption,乡村社会消费品零售总额（亿元）,2025-04-01,4797.8
consumption,乡村社会消费品零售总额（亿元）,2025-05-01,5269.0
consumption,乡村社会消费品零售总额（亿元）,2025-06-01,5728.0
consumption,乡村社会消费品零售总额（亿元）,2025-07-01,5160.5
consumption,乡村社会消费品零售总额（亿元）,2025-08-01,5281.1
consumption,乡村社会消费品零售总额（亿元）,2025-09-01,6188.4
consumption,商品零售（亿元）,2018-11-01,30734.7
consumption,商品零售（亿元）,2018-12-01,31471.9
consumption,商品零售（亿元）,2019-03-01,28332.8
consumption,商品零售（亿元）,2019-04-01,27305.3
consumption,商品零售（亿元）,2019-05-01,29324.4
consumption,商品零售（亿元）,2019-06-01,30154.8
consumption,商品零售（亿元）,2019-07-01,29415.2
consumption,商品零售（亿元）,2019-08-01,30039.2
consumption,商品零售（亿元）,2019-09-01,30724.7
consumption,商品零售（亿元）,2019-10-01,33736.9
consumption,商品零售（亿元）,2019-11-01,33130.1
consumption,商品零售（亿元）,2019-12-01,33952.1
consumption,商品零售（亿元）,2020-03-01,24617.9
consumption,商品零售（亿元）,2020-04-01,25871.2
consumption,商品零售（亿元）,2020-05-01,28959.5
consumption,商品零售（亿元）,2020-06-01,30263.5
consumption,商品零售（亿元）,2020-07-01,28920.0
consumption,商品零售（亿元）,2020-08-01,29951.3
consumption,商品零售（亿元）,2020-09-01,31579.5
consumption,商品零售（亿元）,2020-10-01,34204.1
consumption,商品零售（亿元）,2020-11-01,34534.4
consumption,商品零售（亿元）,2020-12-01,35616.3
consumption,商品零售（亿元）,2021-03-01,31973.5
consumption,商品零售（亿元）,2021-04-01,29775.8
consumption,商品零售（亿元）,2021-05-01,32128.8
consumption,商品零售（亿元）,2021-06-01,33663.0
consumption,商品零售（亿元）,2021-07-01,31173.7
consumption,商品零售（亿元）,2021-08-01,30939.0
consumption,商品零售（亿元）,2021-09-01,33001.6
consumption,商品零售（亿元）,2021-10-01,35993.6
consumption,商品零售（亿元）,2021-11-01,36200.1
consumption,商品零售（亿元）,2021-12-01,36427.8
consumption,商品零售（亿元）,2022-03-01,31297.8
consumption,商品零售（亿元）,2022-04-01,26874.2
consumption,商品零售（亿元）,2022-05-01,30534.7
consumption,商品零售（亿元）,2022-06-01,34976.7
consumption,商品零售（亿元）,2022-07-01,32175.9
consumption,商品零售（亿元）,2022-08-01,32510.3
consumption,商品零售（亿元）,2022-09-01,33977.5
consumption,商品零售（亿元）,2022-10-01,36171.2
consumption,商品零售（亿元）,2022-11-01,34179.9
consumption,商品零售（亿元）,2022-12-01,36385.3
consumption,商品零售（亿元）,2023-03-01,34148.3
consumption,商品零售（亿元）,2023-04-01,31159.0
consumption,商品零售（亿元）,2023-05-01,33733.2
consumption,商品零售（亿元）,2023-06-01,35580.6
consumption,商品零售（亿元）,2023-07-01,32483.4
consumption,商品零售（亿元）,2023-08-01,33720.6
consumption,商品零售（亿元）,2023-09-01,35539.2
consumption,商品零售（亿元）,2023-10-01,38533.4
consumption,商品零售（亿元）,2023-11-01,36925.1
consumption,商品零售（亿元）,2023-12-01,38145.1
consumption,商品零售（亿元）,2024-03-01,35055.9
consumption,商品零售（亿元）,2024-04-01,31783.9
consumption,商品零售（亿元）,2024-05-01,34937.0
consumption,商品零售（亿元）,2024-06-01,36123.1
