scenario,domestic_z,property_stabil_prob,export_yoy_proxy,contrib_domestic,contrib_property,contrib_external,growth
domestic_strong|property_upside|external_strong,-1.1862304315360173,0.4751893358636917,0.08577523843916762,-0.003558691294608052,-0.0004962132827261656,0.012866285765875143,0.053811381188540924
domestic_base|property_upside|external_strong,-1.6862304315360173,0.4751893358636917,0.08577523843916762,-0.005058691294608052,-0.0004962132827261656,0.012866285765875143,0.05231138118854092
domestic_strong|property_base|external_strong,-1.1862304315360173,0.3751893358636917,0.08577523843916762,-0.003558691294608052,-0.002496213282726166,0.012866285765875143,0.05181138118854092
domestic_soft|property_upside|external_strong,-2.1862304315360173,0.4751893358636917,0.08577523843916762,-0.006558691294608052,-0.0004962132827261656,0.012866285765875143,0.05081138118854092
domestic_base|property_base|external_strong,-1.6862304315360173,0.3751893358636917,0.08577523843916762,-0.005058691294608052,-0.002496213282726166,0.012866285765875143,0.05031138118854092
domestic_strong|property_downside|external_strong,-1.1862304315360173,0.27518933586369165,0.08577523843916762,-0.003558691294608052,-0.004496213282726167,0.012866285765875143,0.04981138118854092
domestic_strong|property_upside|external_base,-1.1862304315360173,0.4751893358636917,0.055775238439167624,-0.003558691294608052,-0.0004962132827261656,0.008366285765875144,0.04931138118854093
domestic_soft|property_base|external_strong,-2.1862304315360173,0.3751893358636917,0.08577523843916762,-0.006558691294608052,-0.002496213282726166,0.012866285765875143,0.04881138118854092
domestic_base|property_downside|external_strong,-1.6862304315360173,0.27518933586369165,0.08577523843916762,-0.005058691294608052,-0.004496213282726167,0.012866285765875143,0.04831138118854092
domestic_base|property_upside|external_base,-1.6862304315360173,0.4751893358636917,0.055775238439167624,-0.005058691294608052,-0.0004962132827261656,0.008366285765875144,0.047811381188540926
domestic_strong|property_base|external_base,-1.1862304315360173,0.3751893358636917,0.055775238439167624,-0.003558691294608052,-0.002496213282726166,0.008366285765875144,0.047311381188540926
domestic_soft|property_downside|external_strong,-2.1862304315360173,0.27518933586369165,0.08577523843916762,-0.006558691294608052,-0.004496213282726167,0.012866285765875143,0.04681138118854092
domestic_soft|property_upside|external_base,-2.1862304315360173,0.4751893358636917,0.055775238439167624,-0.006558691294608052,-0.0004962132827261656,0.008366285765875144,0.046311381188540925
domestic_base|property_base|external_base,-1.6862304315360173,0.3751893358636917,0.055775238439167624,-0.005058691294608052,-0.002496213282726166,0.008366285765875144,0.045811381188540924
domestic_strong|property_downside|external_base,-1.1862304315360173,0.27518933586369165,0.055775238439167624,-0.003558691294608052,-0.004496213282726167,0.008366285765875144,0.045311381188540924
domestic_strong|property_upside|external_weak,-1.1862304315360173,0.4751893358636917,0.025775238439167625,-0.003558691294608052,-0.0004962132827261656,0.003866285765875144,0.04481138118854093
domestic_soft|property_base|external_base,-2.1862304315360173,0.3751893358636917,0.055775238439167624,-0.006558691294608052,-0.002496213282726166,0.008366285765875144,0.04431138118854092
domestic_base|property_downside|external_base,-1.6862304315360173,0.27518933586369165,0.055775238439167624,-0.005058691294608052,-0.004496213282726167,0.008366285765875144,0.04381138118854092
domestic_base|property_upside|external_weak,-1.6862304315360173,0.4751893358636917,0.025775238439167625,-0.005058691294608052,-0.0004962132827261656,0.003866285765875144,0.04331138118854093
domestic_strong|property_base|external_weak,-1.1862304315360173,0.3751893358636917,0.025775238439167625,-0.003558691294608052,-0.002496213282726166,0.003866285765875144,0.04281138118854093
domestic_soft|property_downside|external_base,-2.1862304315360173,0.27518933586369165,0.055775238439167624,-0.006558691294608052,-0.004496213282726167,0.008366285765875144,0.04231138118854092
domestic_soft|property_upside|external_weak,-2.1862304315360173,0.4751893358636917,0.025775238439167625,-0.006558691294608052,-0.0004962132827261656,0.003866285765875144,0.04181138118854093
domestic_base|property_base|external_weak,-1.6862304315360173,0.3751893358636917,0.025775238439167625,-0.005058691294608052,-0.002496213282726166,0.003866285765875144,0.04131138118854093
domestic_strong|property_downside|external_weak,-1.1862304315360173,0.27518933586369165,0.025775238439167625,-0.003558691294608052,-0.004496213282726167,0.003866285765875144,0.04081138118854093
domestic_soft|property_base|external_weak,-2.1862304315360173,0.3751893358636917,0.025775238439167625,-0.006558691294608052,-0.002496213282726166,0.003866285765875144,0.039811381188540926
domestic_base|property_downside|external_weak,-1.6862304315360173,0.27518933586369165,0.025775238439167625,-0.005058691294608052,-0.004496213282726167,0.003866285765875144,0.039311381188540925
domestic_soft|property_downside|external_weak,-2.1862304315360173,0.27518933586369165,0.025775238439167625,-0.006558691294608052,-0.004496213282726167,0.003866285765875144,0.037811381188540924
