dataset,series,date,value,frequency,unit,notes
tsf_increment,社会融资规模增量统计__2,2025-10-01,8161.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-09-01,35296.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-08-01,25660.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-07-01,11307.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-06-01,42251.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-05-01,22900.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-04-01,11599.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-03-01,58961.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-02-01,22331.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2025-01-01,70546.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-12-01,28507.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-11-01,23288.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-10-01,14120.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-09-01,37635.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-08-01,30323.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-07-01,7707.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-06-01,32985.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-05-01,20623.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-04-01,-658.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-03-01,48335.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-02-01,14959.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2024-01-01,64734.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-12-01,19401.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-11-01,24554.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-10-01,18441.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-09-01,41326.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-08-01,31279.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-07-01,5366.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-06-01,42265.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-05-01,15560.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-04-01,12249.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-03-01,53867.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-02-01,31610.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2023-01-01,59956.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-12-01,13058.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-11-01,19837.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-10-01,9134.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-09-01,35411.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-08-01,24712.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-07-01,7785.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-06-01,51926.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-05-01,28415.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-04-01,9327.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-03-01,46565.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-02-01,12170.0,M,亿元,社会融资规模增量及分项（多行表头）
tsf_increment,社会融资规模增量统计__2,2022-01-01,61759.0,M,亿元,社会融资规模增量及分项（多行表头）
